0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"Abbreviations: dpv—days post ﬁrst immunization, M—mean, SD—standard deviation, nd—not determined, E—experimental group (immunized with PiCV rCP",,,,,,,,,,,,,,,,
,"mixed with adjuvant), C—control group (immunized with adjuvant only. The values in the same column with different superscripts (a, b) differ signiﬁcantly at",,,,,,,,,,,,,,,
,p < 0.05 in U Mann-Whitney non-parametric test.,,,,,,,,,,,,,,,
,,,,CD3 + (%),,,,,CD4+ (%),,,,,CD8+ (%),,
,Group,,,,,,,,,,,,,,,
,,,,dpv,,,,,dpv,,,,,dpv,,
,,0,2,23,39,46,0,2,23,39,46,0,2,23,39,46
,,,,,,,,,blood,,,,,,,
,M,32.38,23.23,28.43,37.6,30.98,10.71,11.14,11.01,13.74,13.83,10.3,10.52,11.54,11.25,13.26
E,,,,,,,,,,,,,,,,
,SD,3.76,5.71,4.55,4.56,4.98,3.06,1.98,3.36,3.07,2.62,3.68,3.32,2.94,3.99,2.23
,M,39.58,28.88,34.76,35.23,33.63,10.03,14.37,15.8,11.41,13.61,8.76,13.19,15.49,11.12,13.34
C,,,,,,,,,,,,,,,,
,SD,8.28,6.27,4.21,3.43,5.64,3.17,4.15,4.03,2.54,3.34,2.86,4.68,4.01,3.32,2.98
,,,,,,,,,spleen,,,,,,,
,M,50.00,52.05,47.78b,54.93,57.71,29.26,26.13,17.3,16.18a,20.75,28.48,26.08,20.06,19.93,20.73
E,,,,,,,,,,,,,,,,
,SD,4.52,3.94,4.45,6.40,2.93,7.42,6.52,1.16,4.73,5.04,5.19,5.38,2.76,4.32,2.58
,M,53.73,51.13,53.68a,61.88,53.8,26.08,24.01,19.00,12.1b,19.08,26.1,27.5,24.46,18.75,19.07
C,,,,,,,,,,,,,,,,
,SD,6.38,1.83,4.28,4.25,3.32,3.82,4.99,2.46,2.16,4.39,4.13,3.95,4.87,4.08,4.34
,,,,,,,,bursa of Fabricius,,,,,,,,
,,,,5.48,,,,,,,,,,,,
,M,5.05,5.05,b,4.76,6.43,,,nd,,,,,nd,,
E,,,,,,,,,,,,,,,,
,SD,0.73,0.79,0.35,1.56,1.90,,,,,,,,,,
,,,,7.34,,,,,,,,,,,,
,M,5.99,5.14,a,6.54,6.51,,,,,,,,,,
C,,,,,,,,,,,,,,,,
,SD,1.02,0.89,1.76,1.2,0.46,,,,,,,,,,
