0,1,2,3,4,5,6,7
,,,,0,"~~~~~~~~~~~~~~ 0~~~~~~~0
~~~~~~~~~~~~~",co,
,,,,00o,4*2>-U,,
,,,,"C's
~",C's,,
,,,-.~~~..o,"-
6s","0
CO",,
,,,,,"6
~~~~~~~~~~~~~~c",,
,,c~~~.6,,".66
4~~~~~0
~~~)","0
~",,
,,,,"0
~~~~~~*
N O
0-'
~~~~~~~~~~~~~~~~~~",'0~~~c,,
,,,~~~~~~~,"~
~
~","~
~
~
~
~
~
~
~
~",u~~~~e,
,,,,,"C's~
-E
03",,
,,,,,"cqs
ci",m~~~~,
,,,,"~~ .6
~~~~~O","*
.6.0~~wC'",,
,,,,.~~~~ 0,"~~~~~~~
0",,
,,,,,,,
,,,,,,,
,6,,,,".0
CZ ~
~
6",,
,,,,C15,")
~~~~~~~~~~~~~~~~~~~~~~~~C.",,
,0,,,,,,
,,,,,"o-o
-o
.-.0~~~~~~~~~~~~~~~~~~~CsMq",,
,,,,"-o
CU
-~~~~~~~~~~~o",,"000
00~~~~~~~~~~~~~~~~~~~~~~~~4",
,,,,,"'
~",,
o,*o,,,-o,"W
-~~~~~~~~~~~~~~~~~~o",-o-4,
,,,,"-""","0
C",,
,>o,,CC),,c.,,c
62,~~~~~~~~~~~~~~~~~~~~~~~~~~~~,,,"~
~
~
~","~
~
~ ~~~'",,
,,,,,"C..)
COC's",,
,,,0.,,"co~
a~~~~~~~~~~~~~~~~~uc",,
,,,,,"C)
-~~~~~~~~~~~
.0~~~~I0.C4",,
,,,,"0
6
6",~~~~~~~~~~~~66~~~t,,
,,,,"CC
.C","~~~~~~
6~~~~C)",~~~CC~t,
,0u,,,,"C
C
.-",,
,In,,~,"~ ~~
~
~
~
~","~
~
~
~
~
~
.'~",,
,,,,,0.,,
,,,,,CCr,,
,,,tn,,,,
,,,,-~~~~~,"0.0i
C's
>
~",,
,,,,,,C's.--),
,,,0,"~
~~
~
~
~","~
~
~
~",,
,,,,,>CC.,,
,,,0,0,CC,,
,,,,,,0~~~~~~~~~~~~~~~~~~~r,
,,,,,600O~~~~~~~~~~~~~~~nC'SU,,
,,,,"6
6",0CU20C..0,6~~~,
,,,,"c:
=8","E
8
t
a
,
C
P
>",D:,
,X,-,V)o~6 V)* *@@,,,:V,
"Can Vet J Volume 41, January 2000",,,,,,,41
