0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ET8,C,35,2,2,2,2,1,2,2,2,2,1,4,0,4,3
ET8,G,37,2,2,2,2,1,2,2,2,2,1,4,0,4,3
ET9,D,2,2,2,2,2,1,2,2,2,2,1,3,5,3,1
ET10,F,17,2,2,2,2,1,2,2,2,2,1,3,4,3,3
ET10,B,18,2,2,2,2,1,2,2,2,2,1,3,4,3,3
ET11,D,36,2,2,2,2,1,2,2,2,2,1,3,3,3,3
ET11,I,38,2,2,2,2,1,2,2,2,2,1,3,3,3,3
ET12,K,11,2,2,2,2,1,2,2,2,2,1,3,3,3,2
ET13,C,13,2,2,2,2,1,2,2,2,2,1,3,3,3,0
,S. aureus® ATCC,,2,2,2,2,1,2,2,2,2,1,3,3,3,0
,29213,,,,,,,,,,,,,,,
ET14,L,12,2,2,2,2,1,2,2,2,2,1,3,2,3,1
ET15,E,9,2,2,2,2,1,2,2,2,2,1,2,4,2,2
ET15,I,10,2,2,2,2,1,2,2,2,2,1,2,4,2,2
ET16,G,28,2,2,2,2,1,2,2,2,2,1,2,3,3,3
ET16,K,29,2,2,2,2,1,2,2,2,2,1,2,3,3,3
ET17,E,3,2,2,2,2,1,2,2,2,2,1,2,3,2,2
ET17,B,7,2,2,2,2,1,2,2,2,2,1,2,3,2,2
ET17,C,20,2,2,2,2,1,2,2,2,2,1,2,3,2,2
ET18,I,27,2,2,2,2,1,2,2,2,2,1,2,2,3,2
ET19,G,21,2,2,2,2,1,2,2,2,2,1,2,2,2,1
ET20,B,5,2,2,2,2,1,2,2,2,2,1,2,2,2,0
ET20,D,6,2,2,2,2,1,2,2,2,2,1,2,2,2,0
ET21,K,25,2,2,2,2,1,2,2,2,2,1,1,3,2,3
ET22,K,34,2,2,2,2,1,2,2,2,2,1,1,2,2,2
ET22,I,39,2,2,2,2,1,2,2,2,2,1,1,2,2,2
ET23,K,22,2,2,2,2,1,2,2,2,2,1,1,2,1,1
ET24,A,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1
ET25,E,24,2,2,2,2,1,2,2,2,2,1,1,0,2,0
ET26,G,41,2,2,1,1,1,2,2,2,2,1,3,3,3,3
ET27,C,40,2,2,1,1,1,2,2,2,2,1,1,2,2,2
ET28,F,8,2,1,2,2,1,2,2,2,2,1,1,3,1,2
ET29,C,33,1,1,3,1,1,1,2,1,2,1,4,2,4,3
ET30,J,31,1,1,3,1,1,1,1,1,1,1,4,3,4,3
ET31,A,26,1,1,3,1,1,1,1,1,1,1,3,3,3,3
ET32,F,4,1,1,3,1,1,1,1,1,1,1,2,3,2,2
ET33,C,19,1,1,1,1,1,1,1,1,2,1,2,3,2,2
