0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,Common Mechanisms of Respiratory Viral,,,,,,Infection
,Table 3. Normalized viral expression and pathway inclusion grid for genes with viral,,,,,,,,,,,,,,frequency $6.,,,,,
,,,CORON,,COX,,FLU,,HRV,,MPENU,,RSV,,,Included in pathway,,,,
Gene Name1 CMV,,,,,,,,,,,,,,,,,,,,
,,Down Up,Down Up,,Down Up,,Down Up,,Down Up,,Down Up,,Down Up,,EGFR,HRH1,,IFNG IL17,,CD40 Parkin
JUN,22/5,,,3/4,,1/3,22/6,,21/2,,,5/5,,1/3,X,X,,X,X,
NFKBIA,,1/5,,3/4,,1/3,,1/6,,2/2,,4/5,,1/3,X,X,,X,X,
IL8,22/5,1/5,,2/4,,1/3,21/6,1/6,,1/2,,5/5,,1/3,,X,,X,X,
MYC,22/5,,21/4,,,2/3,,1/6,,1/2,,3/5,,1/3,X,,X,,,
STAT1,,5/5,21/4,1/4,21/3,,,4/6,21/2,1/2,,5/5,21/3,1/3,X,,X,,,
CEBPD,21/5,,,1/4,,1/3,,1/6,,1/2,21/5,2/5,,1/3,,,,X,,
TNFAIP3,,3/5,,2/4,,1/3,,1/6,,2/2,,5/5,,1/3,,,,,X,
CASP1,,4/5,21/4,1/4,21/3,,,2/6,21/2,1/2,,4/5,,1/3,,,,,,X
JAK2,21/5,2/5,,1/4,,,,2/6,,1/2,,4/5,21/3,1/3,X,,X,X,X,
FOS,23/5,,,3/4,,2/3,21/6,,,,21/5,3/5,,1/3,X,X,,X,,
IL6,21/5,4/5,,1/4,,,21/6,2/6,,2/2,,5/5,,1/3,,X,,X,X,
CCL2,,3/5,,,,1/3,,1/6,,1/2,21/5,4/5,,1/3,,,,X,X,
IRF1,,5/5,,1/4,,,,2/6,,1/2,21/5,4/5,,1/3,,,X,,X,
PTGS2,,3/5,,1/4,,1/3,21/6,1/6,,1/2,,5/5,,,,,,X,X,
CCL20,,1/5,,2/4,,,21/6,2/6,,2/2,,3/5,,1/3,,,,X,,
CDKN1A,,2/5,,,,1/3,21/6,2/6,,1/2,21/5,,,1/3,,,X,,,
CXCL1,21/5,1/5,,2/4,,1/3,22/6,,,2/2,,3/5,,,,,,X,,
DUSP1,,1/5,,3/4,,2/3,22/6,1/6,,,,3/5,,1/3,X,,,,,
DUSP4,,1/5,21/4,,,1/3,,1/6,,,21/5,3/5,,1/3,X,,,,,
EIF2AK2,,3/5,,,,1/3,,4/6,,1/2,,4/5,,1/3,,,X,,,
FAS,,5/5,,,,1/3,,1/6,21/2,1/2,,5/5,,1/3,,,,,X,
HBEGF,,3/5,,,,2/3,24/6,,,2/2,,5/5,,1/3,X,,,,,
SOCS1,,3/5,,1/4,,,,3/6,,2/2,,4/5,,1/3,,,X,,,
STAT2,,4/5,21/4,1/4,,,21/6,2/6,,1/2,,4/5,,1/3,,,X,,,
TNF,21/5,4/5,,1/4,,1/3,,2/6,,2/2,21/5,2/5,,,,X,,,,
TRAF1,,3/5,21/4,1/4,,1/3,,1/6,,1/2,,3/5,,,,,,,X,
UBE2L6,,5/5,,1/4,,,,4/6,,1/2,,5/5,,1/3,,,,,,X
,"1The first 8 genes are differentially expressed in seven viruses, and the remaining 19 genes are differentially expressed in six viruses.",,,,,,,,,,,,,,,,,,,
,doi:10.1371/journal.pone.0033174.t003,,,,,,,,,,,,,,,,,,,
