0,1,2,3,4
Table 2. Serum antibody levels among treatment groups by day post inoculation.,,,,
Assay,Group,,Day post inoculation,
,,-4,0a,14
,1,<1:8 (4.6),<1:8 (4.6),1:64 (6.1)
,2,<1:8 (4.6),1:5.3 (4.6),1:19.7 (4.9)
FFN arithmetic mean (SE),3,<1:8 (4.6),1:6.1 (4.6)b,1:19.7 (4.9)
,4,<1:8 (4.6),1:8.0 (4.6)b,1:32.0 (5.3)
,5,<1:8 (4.6),1:17.1 (4.6)b,1:11.3 (4.9)
,6,<1:8 (4.6),1:32.0 (4.6)b,1:16.0 (5.3)
,1,0.5 (0.2),0.2 (0.2),2.2 (0.4)
,2,0.7 (0.2),0.7 (0.2),2.0 (0.2)
PEDV IgA ELISA least square mean S/P (SE),3,0.6 (0.2),1.1 (0.2),1.9 (0.3)
,4,0.6 (0.2),1.8 (0.2)b,1.3 (0.3)
,5,0.6 (0.2),2.8 (0.2)b,1.2 (0.2)
,6,0.7 (0.2),3.3 (0.2)b,1.4 (0.3)
,1,0.6 (0.1),0.5 (0.1),1.7 (0.2)
,2,0.7 (0.1),0.7 (0.1)b,1.0 (0.1)
PEDV IgG ELISA least square mean S/P (SE),3,0.7 (0.1),0.7 (0.1)b,1.5 (0.2)
,4,0.7 (0.1),0.8 (0.1)b,1.3 (0.2)
,5,0.7 (0.1),1.1 (0.1)b,1.0 (0.1)
,6,0.7 (0.1),1.4 (0.1)b,0.9 (0.2)
