0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,Sex,,,Reproductive status,,,Capture place,,,Health status,,
Family genus and,,Female,,,Immature,Mature,,Inside,Outside,,Dead,Alive,,
species*,,(%),Male (%),? (%),(%),(%),? (%),(%),(%),? (%),(%),(%),? (%),Total
Molossidae,,783 (43),979 (53),73 (4),332 (18),1311 (71),192 (11),844 (46),596 (32),395 (22),656 (36),1059 (58),120 (6),1835
Cynomops,,84 (45),97 (52),5 (3),53 (28),113 (61),20 (11),78 (42),61 (33),47 (25),80 (43),89 (48),17 (9),186
C. abrasus,,3 (50),3 (50),0,2 (33),4 (67),0,4 (66),1 (17),1 (17),3 (50),2 (33),1 (17),6
C. planirostris,,78 (45),93 (53),4 (2),49 (28),108 (62),18 (10),72 (41),57 (33),46 (26),72 (41),87 (50),16 (9),175
Cynomops spp.,(2a/5),3 (60),1 (20),1 (20),2 (40),1 (20),2 (40),2 (40),3 (60),0,5 (100),0,0,5
Eumops,,100 (48),100 (48),10 (4),31 (15),161 (77),18 (8),87 (41),81 (39),42 (20),66 (32),129 (61),15 (7),210
E. glaucinus,,73 (50),69 (47),4 (3),24 (17),113 (77),9 (6),48 (33),65 (44),33 (23),47 (32),88 (60),11 (8),146
E. perotis,,22 (41),28 (53),3 (6),5 (9),40 (76),8 (15),37 (70),10 (19),6 (11),10 (19),39 (73),4 (8),53
Eumops spp.,(5b/16),5 (46),3 (27),3 (27),2 (18),8 (73),1 (9),2 (18),6 (55),3 (27),9 (82),2 (18),0,11
Molossops,,0,2 (67),1 (33),1 (33),1 (33),1 (34),2 (67),1 (33),0,0,3 (100),0,3
Molossops sp.,(1c/4),0,2 (67),1 (33),1 (33),1 (33),1 (34),2 (67),1 (33),0,0,3 (100),0,3
Molossus,,396 (40),566 (57),24 (3),198 (20),701 (71),87 (9),420 (43),348 (35),218 (22),355 (36),554 (56),77 (8),986
M. molossus,,357 (41),493 (56),23 (3),180 (21),618 (71),75 (8),375 (43),298 (34),200 (23),315 (36),491 (56),67 (8),873
"M.
rufus",,30 (34),59 (66),0,12 (13),66 (74),11 (13),35 (39),41 (46),13 (15),32 (36),47 (53),10 (11),89
Molossus spp.,(2d/9),9 (38),14 (58),1 (4),6 (25),17 (71),1 (4),10 (42),9 (38),5 (20),8 (33),16 (67),0,24
Nyctinomops,,25 (47),27 (51),1 (2),5 (9),42 (80),6 (11),35 (66),8 (15),10 (19),13 (24),40 (76),0,53
"N.
laticaudatus",,9 (50),8 (44),1 (6),4 (22),11 (61),3 (17),15 (83),0,3 (17),3 (17),15 (83),0,18
Nyctinomops spp.,(3e/4),16 (46),19 (54),0,1 (3),31 (89),3 (8),20 (57),8 (23),7 (20),10 (29),25 (71),0,35
Promops,,4 (80),1 (20),0,2 (40),3 (60),0,3 (60),1 (20),1 (20),3 (60),2 (40),0,5
Promops sp.,(1f/2),4 (80),1 (20),0,2 (40),3 (60),0,3 (60),1 (20),1 (20),3 (60),2 (40),0,5
Tadarida,,77 (55),61 (44),2 (1),16 (11),112 (80),12 (9),106 (76),11 (8),23 (16),24 (17),111 (79),5 (4),140
T. brasiliensis,,39 (59),26 (39),1 (2),13 (20),48 (73),5 (7),46 (70),7 (11),13 (19),10 (15),54 (82),2 (3),66
Tadarida sp.,(1g/10),38 (51),35 (47),1 (2),3 (4),64 (86),7 (10),60 (81),4 (5),10 (14),14 (19),57 (77),3 (4),74
Not classified,,97 (38),125 (50),30 (12),26 (10),178 (71),48 (19),113 (45),85 (34),54 (21),115 (46),131 (52),6 (2),252
Phyllostomidae,,137 (42),166 (51),22 (7),27 (8),241 (74),57 (18),106 (33),141 (43),78 (24),206 (63),106 (33),13 (4),325
Artibeus,,58 (42),73 (53),6 (5),16 (12),97 (71),24 (17),24 (17),91 (67),22 (16),89 (65),45 (33),3 (2),137
Artibeu lituratus,,31 (43),38 (53),3 (4),10 (14),50 (69),12 (17),13 (18),49 (68),10 (14),43 (60),26 (36),3 (4),72
Artibeus spp.,(4h/12),27 (41),35 (54),3 (5),6 (9),47 (73),12 (18),11 (17),42 (65),12 (18),46 (71),19 (29),0,65
