0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
*Significant at α = 0.05,,,,,,,,,,,,,,,,
,Table 3 Estimated Hazard Risks of 3- and 30-day mortality for MERS-CoV patients,,,,,,,,,,,,,,,
,,3-day mortality,,,,,,,,30-day mortality,,,,,,
,91(13.8%),,,,,,,,187(28.3%),,,,,,,
,P,HR,95% CI,,P,aHR,95% CI,,P,HR,95% CI,,P,aHR,95% CI,
Elderly,0.001*,2.4,1.55,3.57,0.041*,1.7,1.02,2.71,0.001*,2.5,1.86,3.33,0.003*,1.7,1.18,2.31
Male gender,0.530,1.2,0.73,1.82,0.802,1.1,0.65,1.74,0.166,1.3,0.91,1.73,0.639,1.1,0.77,1.53
Saudi nationality,0.112,1.5,0.91,2.46,0.068,0.6,0.29,1.05,0.001*,2.5,1.66,3.66,0.168,0.7,0.44,1.15
Symptomatic,0.093,5.4,0.76,38.92,0.861,1.2,0.13,11.08,0.011*,12.6,1.77,90.14,0.281,3.1,0.40,24.07
Non-healthcare worker,0.002*,8.8,2.17,35.71,0.009*,8.8,1.73,44.62,0.001*,20.7,5.15,83.44,0.001*,19.2,4.37,84.68
Pre-existing illness,0.001*,3.0,1.61,5.44,0.256,1.5,0.76,2.77,0.001*,4.7,2.89,7.52,0.005*,2.1,1.25,3.39
"Severity of
illness",0.001*,8.9,4.94,16.04,0.001*,6.5,3.46,12.28,0.001*,4.7,3.43,6.55,0.001*,3.7,2.60,5.21
"Source of
infections",,,,,,,,,,,,,,,,
Camels,0.023*,0.6,0.35,0.93,0.534,0.9,0.52,1.41,0.006*,0.6,0.47,0.88,0.725,0.9,0.67,1.32
Hospital-acquired,0.364,1.3,0.74,2.24,0.001*,2.8,1.49,5.22,0.255,0.8,0.49,1.21,0.001*,2.9,1.74,4.88
infections,,,,,,,,,,,,,,,,
Household contact,0.042*,0.1,0.02,0.93,0.393,0.4,0.05,3.17,0.002*,0.1,0.03,0.43,0.096,0.3,0.07,1.24
Regions of Saudi Arabia,,,,,,,,,,,,,,,,
Central,0.577,1.2,0.62,2.36,0.647,0.8,0.36,1.88,0.157,1.4,0.87,2.34,0.906,1.0,0.51,1.83
East,0.688,1.2,0.53,2.66,0.456,0.7,0.26,1.85,0.206,1.5,0.81,2.62,0.963,1.0,0.47,2.06
South,0.624,1.3,0.49,3.35,0.696,1.2,0.43,3.59,0.279,1.5,0.73,2.96,0.226,1.7,0.73,3.76
,"*Significant at α = 0.05. HR unadjusted estimates of hazard ratios, aHR adjusted estimates of hazard ratios",,,,,,,,,,,,,,,
