0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,MERS-CoV VNT titres,,,,,,,S1 ELISA titres,,,,,,,
,10-02-,05-04-,19-04-,10-05-,02-08-,06-09-,04-10-,21-10-,10-02-,05-04-,19-04-,10-05-,02-08-,06-09-,04-10-,21-10-
,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005
Camel 19 female,,384,192,96,96,96,96,48,,400,800,1600,800,1600,400,400
Camel 47 female,,192,192,192,96,192,192,192,,400,1600,1600,800,6400,800,800
Camel 49 female,,384,384,192,384,192,192,,,200,800,400,800,1600,800,
Camel 40 male calf,,Neg,Neg,Neg,Neg,Neg,Neg,Neg,,Neg,Neg,Neg,Neg,Neg,Neg,Neg
Camel 45 male calf,,Neg,Neg,Neg,Neg,Neg,Neg,Neg,,Neg,Neg,Neg,Neg,Neg,Neg,Neg
Camel 50 (30) male,,,,,,,96,24,,,,,,,200,Neg
Camel 9 (33) male,,,,,,,192,192,,,,,,,1600,800
Camel 34 (6),,,,,,,96,48,,,,,,,1600,800
pregnant female,,,,,,,,,,,,,,,,
Camel 45 (32) female,,,,,,,48,24,,,,,,,1600,800
Camel 35 (20) female,,,,,,,24,48,,,,,,,Neg,400
Camel 10 (Sudani Lady),96,,,,,,96,24,Neg,,,,,,800,800
female,,,,,,,,,,,,,,,,
