0,1,2,3,4,5,6,7,8,9,10
,,,,Time,,,,,95% Confidence,
,,,,,,,,,Interval,
,,,Time 1,,Time 2,,,,,
Variable,,Course Length,Mean,SD,Mean,SD,Mean,Lower,Upper,P
Pandemic Self-Efficacy,,Short,88.4,13.2,95.6,12.8,7.3,4.5,10.0,<0.001
,,Medium,86.2,13.7,91.7,14.4,5.4,2.9,8.1,<0.001
,,Long,88.7,10.9,91.4,11.0,2.8,0.5,5.0,0.02
Confidence in Support and Training,,Short,32.2,4.7,33.5,4.0,1.2,0.2,2.3,0.02
,,Medium,32.8,5.5,34.0,5.3,1.2,0.3,2.1,0.01
,,Long,32.8,4.4,33.8,4.7,1.0,0.4,1.6,0.001
Total,Interpersonal Problems,Short,31.9,17.4,29.6,17.0,-2.3,-4.8,0.3,0.08
,,Medium,31.7,17.0,27.6,16.5,-4.0,-6.2,-1.8,0.001
,,Long,30.6,13.5,25.7,13.1,-4.9,-7.6,-2.3,<0.001
