0,1,2,3,4,5,6,7,8,9,10
,,,,RTI Cases,,,,,Control cases,
,,,PCR/ESI-MS,,,,,PCR/ESI-MS,,
,,Medical,Local,,Virus Isolation,Both Methods,,Bacterial,No active,"p value,"
,"All,","Center,","Clinic,","P Value,",,,"All,","infections,","infections,",RTI vs. Control
"Virus Detection, n (%)",n ¼ 267,n ¼ 171,n ¼ 96,Center vs. Clinic,"All, n ¼ 267","All, n ¼ 267",n ¼ 42,n ¼ 15,n ¼ 27,(PCR/ESI-MS)
(cid:5)1 respiratory virus,126 (47.2),77 (45.0),49 (51.0),0.35,63 (23.6),128 (47.9),1 (2.4),0,1 (3.7),<0.001
(cid:5)2 respiratory viruses,11 (4.1)(cid:6),9 (5.3),2 (2.1),0.34,0,11 (4.1)(cid:6),0,0,0,0.37
Inﬂuenza A,65 (24.3)y,39 (22.8),26 (27.1),0.44,48 (18.0),65 (24.3)y,0,0,0,<0.001
H3N2,28 (10.5),17 (9.9),11 (11.5),0.70,–,28 (10.5),0,0,0,0.02
H1N1,36 (13.5),21 (12.3),15 (15.6),0.44,–,36 (13.5),0,0,0,0.007
Genus Enterovirus,34 (12.7)z,21 (12.3),13 (13.5),0.77,13 (4.9)§,35 (13.1)z,1 (2.4),0,1 (3.7),0.06
Rhinovirus,25 (9.4),17 (9.9),8 (8.3),0.67,–,25 (9.4),1 (2.4),0,1 (3.7),0.23
Enterovirus,8 (3.0),3 (1.8),5 (5.2),0.14,–,9 (3.4),0,0,0,0.60
hCoV,13 (4.9),6 (3.5),7 (7.3),0.24,0,13 (4.9),0,0,0,0.23
hCoV-OC43,7 (2.6),2 (1.2),5 (5.2),–,–,7 (2.6),0,0,0,–
hCoV-HKU1,4 (1.5),2 (1.2),2 (2.1),–,–,4 (1.5),0,0,0,–
hCoV-229E,2 (0.7),2 (1.2),0,–,–,2 (0.7),0,0,0,–
hMPV,10 (3.7),7 (4.1),3 (3.1),0.69,0,10 (3.7),0,0,0,0.37
Adenovirus,6 (2.2),6 (3.5),0,0.09,0,6 (2.2),0,0,0,1.00
RSV,6 (2.2),4 (2.3),2 (2.1),1.00,0,6 (2.2),0,0,0,1.00
Parainﬂuenza,4 (1.5),4 (2.3),0,0.30,2 (0.7),5 (1.9),0,0,0,1.00
Parainﬂuenza type 1,3 (1.1),3 (1.8),0,–,1 (0.4),3 (1.1),0,0,0,–
Parainﬂuenza type 3,1 (0.4),1 (0.6),0,–,1 (0.4)§,2 (0.7),0,0,0,–
No respiratory virus detected,141 (52.8),94 (55.0),47 (49.0),0.35,204 (76.4),139 (52.1),41 (97.6),15 (100),26 (96.3),<0.001
Herpesviruses,,,,,,,,,,
Epstein–Barr virus,128 (47.9),95 (55.6),33 (34.4),0.001,–,128 (47.9),18 (42.9),8 (53.3),10 (37.0),0.54
Herpes simplex virus-1,25 (9.4),19 (11.1),6 (6.3),0.19,4 (1.5),25 (9.4),3 (7.1),0,3 (11.1),0.78
Cytomegalovirus,7 (2.6),7 (4.1),0,0.05,–,7 (2.6),1 (2.4),1 (6.7),0,1.00
Varicella-zoster virus,2 (0.7),2 (1.2),0,0.82,–,2 (0.7),1 (2.4),1 (6.7),0,0.36
