0,1
Rhinovirus species in coinfections (n = 34),
Coinfections with RV-A,7 (21)
RV-A + HBoV,2 (29)
RV-A + RSV,1 (14)
RV-A + CV,1 (14)
RV-A + MPV,1 (14)
RV-A + PIV,1 (14)
RV-A + RSV + HBoV,1 (14)
Coinfections with RV-B,1 (2.9)
RV-B + HBoV,1 (100)
Coinfections with RV-C,15 (44)
RV-C + HBoV,3 (20)
RV-C + RSV,2 (13)
RV-C + CV,1 (6.7)
RV-C + EV,1 (6.7)
RV-C + MPV,1 (6.7)
RV-C + PIV,1 (6.7)
RV-C + RSV + EV,2 (13)
RV-C + RSV + Flu,1 (6.7)
RV-C + HBoV + CV,1 (6.7)
RV-C + MPV + PIV,1 (6.7)
RV-C + RSV + EV+ AdV,1 (6.7)
