0,1,2,3,4,5,6,7
,Table 3. Antiviral activity and cytotoxicity against human cytomegalovirus in HEL cell cultures.,,,,,,
,,Antiviral Activity EC50 (µM) a,,,Cytotoxicity (µM),,
Compound,R,,,,,,
,,,,,,,c
,,AD-169 Strain,Davis Strain,Cell Morphology MCC b,,Cell Growth CC50,
cis-11a,H,>100,100,20,,n.d.,
trans-11a,H,>100,>100,100,,n.d.,
trans-11b,C6H5-CH2,20,20,20,,n.d.,
trans-11c,2-NO2-C6H4-CH2,>20,15.29,100,,n.d.,
trans-11d,3-NO2-C6H4-CH2,10.4 ± 0.8,11.6 ± 2.5,100,,37.0 ± 4.3,
trans-11e,4-NO2-C6H4-CH2,>20,>20,100,,n.d.,
trans-11f/cis-11f (95:5),2-F-C6H4-CH2,8.94,8.94,20,,n.d.,
trans-11g,3-F-C6H4-CH2,10.5 ± 2.2,8.94 ± 0,100,,33.0 ± 3.5,
trans-11h,4-F-C6H4-CH2,12.5 ± 3.9,11.2 ± 3.1,100,,39.4 ± 5.2,
trans-11i/cis-11i (92:8),"2,4-diF-C6H3-CH2",9.4 ± 0.46,9.7 ± 1.1,>20,,15.6 ± 3.2,
trans-11j,CH3,>20,>100,20,,n.d.,
trans-11k,CH3CH2,>20,44.72,20,,n.d.,
Ganciclovir,,16.9 ± 6.9,7.7 ± 0.9,>350,,>350,
Cidofovir,,1.5 ± 0.2,1.7 ± 0.4,>300,,>300,
a Effective concentration required to reduce virus plaque formation by 50%. Virus input was 100 plaque forming units,,,,,,,
