0,1,2,3,4
or both viruses.,,,,
Epidemiologic aspect,,,Virus isolation (%),
,FCV,FHV-1,Both,Overall
Total,29 (52.7),21 (38.2),5 (9.1),55
Age (years),,,,
< 1 year,11 (45.8),9 (37.5),4 (16.7),24 (43.6)
1 - 5 years,16 (59.3),10 (37),1 (3.7),27 (49.1)
5 - 10 years,2 (50),2 (50),- (0),4 (7.3)
Gender,,,,
female,21 (56.8),14 (37.8),2 (5.4),37 (67.3)
male,8 (57.1),6 (42.9),- (0),14 (25.4)
not informed,- (0),1 (25),3 (75),4 (7.3)
Vaccination status,,,,
vaccinated,3 (21.4),10 (71.4),1 (7.1),14 (25.4)
not vaccinated,23 (63.9),10 (27.8),3 (8.3),36 (65.4)
not informed,3 (60),1 (20),1 (20),5 (9.1)
Habitat,,,,
single,2 (100),- (0),- (0),2 (3.6)
with other cats,27 (51.9),21 (40.4),4 (7.7),52 (94.5)
not informed,- (0),- (0),1 (100),1 (1.8)
Clinical signs,,,,
presence,11 (44),13 (52),1 (4),25 (45.5)
absence,18 (60),8 (26.7),4 (13.3),30 (54.5)
