0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,PATHOGENICITY,,,,,OF MOUSE,,HEPATITIS,VIRUS,,,535
,,TABLE II.-,,,Direct and Indirect Titration of Friend Agent,,,,,,,,,
,,,,,,,,fndirect,titration,,,,Direct,
,,f--,,,,,,,,,,,titratioin,
,,,Hepatitis scored,,,,,,Mortality,,Infection rate,,Infection rate,
Dilution of,,,No. mice graded as,,,,,,Mice which died,,Mice infected,,Mice infected,
Friend agent,,,,,,,,,Mice in group,,Mice in group,,-Mice in group,
"log,10)",,0,1,2,3,4,5,,,,,,,
,,6,4,0,0,0,0,,0 /10,,0/10,,0/7,
,,5,5,0,0,0,0,,0/10,,0/10,,0 /10,
9 87 6,,6,1,3,0,0,0,,0/10,,0/10,,0/10,
,,3,4,2,1,0,0,,0/1),,1/10,,0 /10,
,,4,4,2,0,0,0,,0 /10,,0 /10,,0 /10,
,,4,5 0,,1,0,0,,0 /10,,1/10,,6 /10,
,,2,3,3,1,1,0,,0/10,,2/10,,6 /10,
,,,0 1,2,1,4,2,,2/10,,7 /10,,10/10,
321,,0,0,0,1,4,5,,5/10,,10/10,,9/9,
,,,,,,1,9,,9/10,,10/10,,,
,,0,0,0,0,,,,,,,,10/10,
ID50,,,,,,,,,,,10-4.2 g.,,"g.
10-5",
Indirect titration,,,,,,,,,,,,,,
,Usual dose of MHV I,,inoculated 8 days aftei,,,,,,Friend agent.,,,,,
Surviving,mice,sacrificed,,on,,14th,day,after,Friend,inoculation,and,considered,infected,with
,Friend agent when hepatitis score > 2.,,,,,,,,,,,,,
