0,1,2,3,4,5,6,7,8
virus 1 genotype 1c. The level of virus speciﬁc IgG were determined using a commercial ELISA and,,,,,,,,
,"assigned to one of six arbitrary categories, negative (−) or positive (+, ++, +++, ++++, or +++++).",,,,,,,
,,,,,Days Post-Infection,,,
Strain,Animal ID,,,,,,,
,,0,7,14,21,28,35,55
PI506,2661,−,−,−,+,++,+++,++
,2664,−,−,+,+++,++++,+++++,++++
,2665,−,−,+,+++,++++,++++,+++
,2676,−,−,−,++,+++,++++,++++
,2682,−,−,−,++,++,++++,++++
,2684,−,−,−,+++,+++,++++,++++
Trangie,2675,−,−,−,+++,++++,++++,+++
,2677,−,−,−,++,+++,+++,+++
,2685,−,−,−,+++,+++,++++,+++++
,2686,−,−,++,+++,+++++,+++++,+++++
AO554,2666,−,−,++,+++,++++,+++++,++++
,2668,−,−,+++,−,+++++,+++++,+++++
,2669,−,−,+++,++++,+++++,+++++,+++++
,2673,−,−,−,++,++++,+++++,++++
