0,1,2,3,4,5,6,7,8,9,10,11,12
Group,Animal number,,,,,Clinical outcome per day,,,,,,No. animals protected/no. challenged at the
,,,,,,,,,,,,end of the experiment
,,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d,
H,2439,-,+,+,+,+,+,+,+,+,+,0/5
,2445,-,-,+,+,+,+,+,+,+,+,
,2446,-,-,+,+,+,+,+,+,+,+,
,2449,-,+,+,+,+,+,+,+,+,+,
,2450,-,+,+,+,+,+,+,+,+,+,
M,2044,-,-,-,+,+,+,+,+,+,+,1/5
,2045,-,+,+,+,+,+,+,+,+,+,
,2046,-,+,+,+,+,+,+,+,+,+,
,2047,-,-,-,-,-,-,-,-,-,-,
,2048,-,-,-,-,-,+,+,+,+,+,
L,2024,-,-,-,-,-,-,-,+,+,+,3/5
,2027,-,-,-,-,-,-,-,-,-,-,
,2030,-,-,-,-,-,-,-,-,-,-,
,2034,-,-,+,+,+,+,+,+,+,+,
,2036,-,-,-,-,-,-,-,-,-,-,
C,1764,-,-,-,+,+,(cid:10),,,,,0/5
,1765,-,-,+,+,+,+,+,+,+,+,
,1766,-,-,-,-,+,+,+,+,+,+,
,1767,-,-,-,+,+,+,+,+,+,+,
,1770,-,-,-,+,+,+,+,+,+,+,
