0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,TABLE 4 | Expression stability of 10 candidate reference genes calculated by BestKeeper.,,,,,,,,,,,,,,,,,
Rank,,MeJA-treatment,,,ABA-treatment,,,UV-treatment,,,Different organs,,,"MeJA, ABA,UV-treatment",,,All samples,
,Gene,SD,CV,Gene,SD,CV,Gene,SD,CV,Gene,SD,CV,Gene,SD,CV,Gene,SD,CV
1,18S,0.36,2.65,MDH,0.21,0.78,18S,0.02,0.11,18S,0.89,6.04,18S,0.30,2.22,18S,0.53,3.93
2,UBQ,0.46,1.85,UBQ,0.22,0.98,EFa,0.04,0.22,TUBb,1.16,3.52,ACT,0.90,4.07,ACT,1.07,4.75
3,CYP,0.48,2.59,TUBa,0.24,1.00,ACT,0.37,1.77,CYP,1.74,8.33,TUBa,0.96,4.11,TUBa,1.16,4.97
4,UBC,0.64,2.59,18S,0.24,1.83,UBQ,0.46,1.99,MDH,1.76,6.93,UBQ,1.01,4.27,UBQ,1.36,5.65
5,MDH,0.74,2.80,EFa,0.39,2.07,UBC,0.66,3.71,EFa,1.87,8.78,MDH,1.13,4.32,MDH,1.40,5.37
6,ACT,0.95,4.26,CYP,0.47,3.11,MDH,0.71,3.14,TUBa,1.87,8.05,EFa,1.19,6.16,EFa,1.44,7.33
7,EFa,1.22,5.97,ACT,0.58,2.59,CYP,0.98,5.35,UBQ,1.96,7.58,CYP,1.53,8.97,TUBb,1.84,5.68
8,TUBa,1.34,5.72,UBC,0.79,3.71,TUBa,2.20,9.57,UBC,1.97,9.95,GAPDH,1.91,8.13,CYP,1.87,10.54
9,GAPDH,1.35,5.39,GAPDH,1.38,6.21,TUBb,2.54,7.92,ACT,1.98,8.40,TUBb,2.01,6.23,UBC,2.32,10.61
10,TUBb,2.02,5.99,TUBb,1.47,4.77,GAPDH,3.59,15.83,GAPDH,4.90,16.59,UBC,2.10,9.41,GAPDH,2.92,11.81
