0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,Positive,Detection,RV (%),Inﬂuenza,RSV,Parainﬂuenza,Adenovirus,Others,FEV1,Antibiotic,
,,,,Samples,Method,,(%),(%),(%),(%),,,,
,Etherington,180 patients,Viral Throat,42/432,PCR,69,19,2.4,4.8,2.4,2.4%,Signiﬁcantly,Intravenous,NR
,"et al., 2014",participated ion,Swabs,,,,,,,,Metapneumovirus,Lower,antibiotic for,
,,treatment with,,,,,,,,,,,longer period,
,,intravenous,,,,,,,,,,,,
,,antibiotics for an,,,,,,,,,,,,
,,acute pulmonary,,,,,,,,,,,,
,,exacerbation. 42,,,,,,,,,,,,
,,patients (media,,,,,,,,,,,,
,,age 26.5) with,,,,,,,,,,,,
,,positive viral,,,,,,,,,,,,
,,detection,,,,,,,,,,,,
5,,,,,,,,,,,,,,
,Flight,100 adults with,"Sputum, Nose",191/626,PCR,72.5,6.1,2,2.5,4.1,13.2% Human,Lower acute fall,Increase,NR
,"et al., 2014",CF (median age,Swabs and,,,,,,,,Metapneumovirus,in FEV1,number of,
,,of 28),Throat Swabs,,,,,,,,,,prescription,
,Dijkema,20 Children with,Nasopharyngeal,161/352,"Nested PCR,",45.7,NR,NR,NR,NR,NR,NR,Increase use of,NR
,"et al., 2016",CF (0–7 years),Swabs,(only,Southern Blotting,,,,,,,,antibiotic,
,,and age,,HRV was,and Sequencing,,,,,,,,prophylaxis,
,,matched healthy,,tested),,,,,,,,,,
,,control,,,,,,,,,,,,
,Stelzer-,110 children with,upper (nasal,59/263,"PCR, Nested",43%,NR,NR,NR,NR,NR,NR,NR,NR
,"Braid et al.,",CF,"swab,",(< 5,PCR,(< 5,,,,,,,,
,2017,,oropharyngeal,years,,years,,,,,,,,
,,,"suction, and",old);,,old);,,,,,,,,
,,,sputum) and,23/202,,12%,,,,,,,,
,,,lower,(older,,older,,,,,,,,
