0,1,2
,,PCR Array Detecting Eight Viral Pathogens
,"Table 2. The results of sensitivity testing of the real-time PCR array primer sets specific for HIV-1, HIV-2, HBV, HCV, and WNV the",
with FDA/CBER analytical plasma panels.,,
Virus (isolate) and panel member number,Copy number/ml of plasma1,Result
HIV-1 RNA (subtype B),(copy number/PCR),4 primer sets
1901,0,2/2/2/2
1902,10 (1.25),2/2/2/2
1903,50 (6.25),+/2/2/2
1904,100 (12.5),+/+/+/2
1905,500 (62.5),+/+/+/+2
1906,100 (12.5),+/+/+/2
1907,25 (3.1),2/2/2/2
1908,5 (0.6),2/2/2/2
HIV-2 RNA,,3 primer sets
1,0,2/2/2
2,5 (0.6),2/2/2
3,10 (1.25),2/+/2
4,50 (6.25),2/+/+
5,100 (12.5),+/+/+
"HBV DNA (genotype A, serotype adw2)",,3 primer sets
1,0,2/2/2
2,10 (1.25),2/2/2
3,100 (12.5),+/+/2
4,50 (6.25),+/2/2
5,500 (62.5),+/+/+
HCV RNA (genotype 1b),,2 primer sets
2001,0,2/2
2002,5 (0.6),2/2
2003,10 (1.25),+/+
2004,50 (6.25),+/+
2005,100 (12.5),+/+
2006,500 (62.5),+/+
WNV RNA (strain HU2002),,3 primer sets
1,0,2/2/2
2,5 (0.6),2/2/2
3,10 (1.25),2/2/2
4,50 (6.25),+/+/2
5,100 (12.5),+/+/+
6,500 (62.5),+/+/+
7,1000 (125),+/+/+
