0,1,2,3,4,5,6,7,8,9
,"Table 1 Demographics, clinical characteristics and disease severity score in single virus infections",,,,,,,,
,RSV,RV,hMPV,HCoV,FLU,HAdV,HBoV,PIV,p-value
N = 331 single pathogens,200,30,23,24,21,14,10,9,
Age in months,5.8 (6.4),5.4(8.5),10.2(11.45),5.1(6.7),15.1(23.2),11.8(11.7),18.6(12.4),6.8(8.4),0.001b
mean (SD),,,,,,,,,
Median (IQR),3.75 (5.56),2.75(5.4),4.69(11.84),2.67(5.62),2.13(23.53),6.4(19.79),15.59(24.58),5.67(4.87),
"Male, n(%)",113(56.5),18(60.0),11(47.8),9(37.5),11(52.4),8(57.1),5(50.0),4(44.4),"0.638a,c"
DSS,,,,,,,,,
mean (SD),14.9 (6.9),12.6(7.9),12.2(7.6),8.3(6.6),7.9(7.2),11.9(8.6),19.1(3.4),13.9(8.1),0.000b
median (IQR),17.0(10.0),13.0(15.8),13.0(16.0),"7.0,",4.0(9.5),9.0(18.2),19.0(6.5),13(16.0),
"DSS ≤6, n(%)",27(13.5),7(23.6),7(30.4),10 (41.7),12(57.1),5(35.7),0(0.0),2(22.2),"0.000a,c"
"DSS 7–13,n(%)",51(25.5),10(33.3),7(30.4),10(41.7),5(23.8),3(21.4),0(0.0),3(33.3),
"DSS 14–19, n(%)",78(39.0),5(16.7),6(26.1),3(12.5),2(9.5),2(14.3),7 (70.0),2(22.2),
"DSS ≥20, n(%)",44(22.0),8(26.7),3(13.0),1(4.2),2(9.5),4(28.6),3(30.0),2(22.2),
DSS disease severity score,,,,,,,,,
