0,1,2,3,4,5
,No. of passengers,,,,
,,,,Disposition after CDC screening (n = 86),
,screened by,,,,
,customs and,Passengers,No. referred,No. referred by CDC for,Passengers released
,border protection,screened by CDC†,by CDC for medical,coordinated disposition with state,to continue travel
Port of entry,officers*,No. (%),evaluation§,and local health departments¶,No. (%)
New York (JFK),936,26 (2.8),0,2,24 (92.3)
Washington (IAD),507,27 (5.3),3,6,18 (66.7)
Newark (EWR),204,13 (6.4),2,0,11 (84.6)
Atlanta (ATL),136,14 (10.3),0,1,13 (92.9)
Chicago (ORD),132,6 (4.5),2,0,4 (66.7)
Other**,78,0 (—),0,0,0 (—)
Total,"1,993",86 (4.3),7,9,70 (81.4)
* U.S. Customs and Border Protection officers.,,,,,
