0,1,2,3,4,5,6,7,8
,Table 2.  Mono- and Coinfections With Specific Respiratory Viruses in Different Age Groups of the Study Groupa.,,,,,,,
,,1 to <2,2 to <3,3 to <4,4 to <5,5 to <15,,
,<1 Year,Years,Years,Years,Years,Years,Unknown,Total
,(n = 140),(n = 52),(n = 25),(n = 11),(n = 6),(n = 30),Age (n = 5),(N = 269)
HEV/HRV,51 (35.7),18 (36.5),5 (20),4 (36.3),1 (16.6),8 (26.6),1,88 (32.7)
RSV 1,18 (12.8),2 (3.8),2 (8),1 (9.1),0,2 (6.6),0,25 (9.3)
RSV 2,26 (18.6),3 (5.8),0,0,1 (16.6),0,0,30 (11.1)
hMPV,22 (15.7),7 (13.4),2 (8),2 (18.2),0,2 (6.6),1,36 (13.4)
Inf A,2 (1.4),4 (7.7),2 (8),0,0,2 (6.6),0,10 (3.7)
Inf B,3 (2.1),4 (7.7),1 (4),2 (18.2),0,7 (23.3),0,17 (6.3)
hAdV,12 (8.5),4 (7.7),0,0,0,2 (6.6),0,18 (6.3)
PIV 1,7 (5.0),3 (5.8),4 (16),1 (9.1),0,1 (3.3),0,16 (5.9)
PIV 3,1 (0.7),2 (3.8),0,1 (9.1),0,0,0,4 (1.5)
HboV,4 (2.8),2 (3.8),0,0,0,0,0,6 (2.2)
HCoV-NL63,1 (0.7),0,0,0,0,0,0,1 (0.4)
Single-virus infection,91 (65),25 (48.1),16 (64),8 (72.7),3 (50),16 (53.3),2,161 (59.9)
Coinfections,26 (18.6),12 (23.1),0,1 (9.1),0,3 (10),0,42 (15.6)
No virus detected,23 (16.4),15 (28.8),9 (36),2 (18.2),3 (50),11 (36.7),3,66 (24.5)
