0,1,2,3,4,5,6
,,,,MRT (h): 6.84 ± 1.45,,
,,,4,AUC0–24 (ng(cid:5)h/mL): 22.02 ± 4.39,,
,,,,Cmax,(ng/mL): 2.93 ± 1.14,
,,,,"(h): 4.00 ± 3.79
Tmax",,
,,,,MRT (h): 9.30 ± 0.61,,
Male pseudo germ-free,1 (i.g.),40 mg/kg,1,AUC0-limt,(ng(cid:5)h/mL): 40.89,(Zuo et al.
"Wistar
rats",,,,MTT (h): 10.25,,2006)
,,,"Berberrubie,",AUC0-limt,"(ng(cid:5)h/mL): 437.29,",
,,,,MTT (h): 7.45,,
,,,Thalifendine,AUC0-limt,(ng(cid:5)h/mL): 287.85,
,,,,MTT (h): 4.84,,
,,,Emethylen-eberberine,AUC0-limt,(ng(cid:5)h/mL): 735.22,
,,,,MTT (h): 15.08,,
,,,8,AUC0-limt,(ng(cid:5)h/mL): 101.98,
,,,,MTT (h): 4.05,,
"Male Wistar
rats",1 (i.g.),40 mg/kg,1,AUC0-limt,"(ng(cid:5)h/mL): 37.42,",
,,,,MTT (h): 10.53,,
,,,Berberrubie,AUC0limt,"(ng(cid:5)h/mL): 1879.64,",
,,,,MTT (h): 18.32,,
,,,Thalifendine,AUC0-limt,"(ng(cid:5)h/mL): 811.05,",
,,,,MTT (h): 7.62,,
,,,Emethylen-eberberine,AUC0-limt,"(ng(cid:5)h/mL): 1763.62,",
,,,,MTT (h): 24.68,,
,,,8,AUC0-limt,"(ng(cid:5)h/mL): 356.05,",
,,,,MTT (h): 10.32,,
